generated,log_probs,linear_probs,correct_answer
A,-0.0001005631,99.9899441956299,A
B,-0.00012558853,99.98744193559092,B
A,-0.00027921272,99.97208262562438,A
A,-0.20275986,81.64742860206383,C
C,-0.00064786384,99.93523459784639,C
B,-1.1994775e-05,99.9988005296937,B
B,-5.312004e-05,99.99468813708444,B
B,-1.3903749,24.898194380154283,A
D,-9.031158e-05,99.9909692497968,D
A,-7.421909e-05,99.99257836641685,A
B,-1.035667,35.498952392946386,B
D,-0.121151805,88.58994654163422,D
A,-0.00019591136,99.98041078293774,A
A,-0.00011152984,99.98884763792213,A
D,-8.44706e-05,99.99155329675406,D
A,-0.00011760922,99.98823976956932,A
D,-0.0002006795,99.9799340634784,D
dragon,-2.2410421,10.6347621757264,A
B,-0.0037962731,99.62109236349208,B
C,-9.531814e-05,99.99046864026295,C
A,-0.039167807,96.15893341854196,A
C,-6.206032e-05,99.99379416057018,C
B,-0.00024358915,99.97564405154282,B
Er,-4.263809,1.40686128769125,D
A,-0.00021224226,99.9787780261795,A
C,-0.00015872349,99.98412891059067,C
D,-6.7662884e-05,99.99323394050813,D
B,-5.8126592e-05,99.99418750973176,B
A,-1.5968561,20.253225928745955,D
A,-0.00013035668,99.98696518160628,A
A,-0.00012964146,99.9870366943091,A
B,-0.08161106,92.16303479033951,A
D,-0.18910599,82.7698774252352,B
D,-0.9562601,38.4327548153711,B
B,-0.0001245157,99.98754920517581,B
B,-0.0001439459,99.9856064459714,B
D,-4.036525e-05,99.99596355646658,D
B,-4.2391708e-05,99.99576091905158,B
B,-3.094816e-05,99.99690523188893,B
A,-5.8841815e-05,99.99411599161456,A
A,-0.000191024,99.98089942439225,A
A,-8.256335e-05,99.99174400582595,A
C,-0.0012691627,99.87316423463652,C
B,-0.0026926517,99.73109702349896,B
D,-0.00024488938,99.97551406029567,D
B,-0.024694625,97.56077927730696,B
C,-3.7742768e-05,99.99622579442493,C
B,-0.00035572314,99.96443401219747,B
A,-2.5251436,8.00468172384045,C
A,-0.00016945181,99.98305625461471,A
C,-4.2153304e-05,99.9957847584438,C
B,-0.000107000094,99.9893005630306,B
B,-0.00014978688,99.98502243374946,B
A,-0.00010664248,99.9893363206107,A
C,-0.0020223781,99.79796655286943,C
D,-8.9357956e-05,99.99106460363032,D
B,-6.4444386e-05,99.99355576904948,B
B,-7.886803e-05,99.99211350800013,B
C,-6.0510665e-05,99.99394911657333,C
B,-0.00023679454,99.97632334936142,A
A,-0.00017052464,99.98294898985,A
C,-0.014960043,98.515130250724,A
B,-0.00038467496,99.96153990179263,B
A,-0.000102827966,99.98971773206141,A
B,-0.23367499,79.16190582002643,C
A,-5.025915e-05,99.99497421129699,A
A,-0.0003341546,99.96659012234302,A
A,-0.15865555,85.32902241730078,C
C,-9.221884e-05,99.99077854120266,C
A,-2.4482322,8.644627121984538,B
D,-9.2576454e-05,99.99074278310677,D
