generated,log_probs,linear_probs,correct_answer
D,-0.003216688,99.67884799980806,D
A,-0.0005283686,99.94717709621077,A
A,-0.00020902375,99.9790998093942,C
B,-0.25846705,77.22344757559571,D
A,-0.0010965228,99.89040781614494,A
B,-0.012872648,98.72098501639182,D
B,-0.05631313,94.52431055711806,C
A,-0.00023250321,99.97675238167767,A
E,-0.00033808468,99.96619724641855,E
A,-0.00039063513,99.96094411579685,A
E,-0.10035569,90.45156336458757,C
E,-0.0021007757,99.79014293848711,D
B,-0.00012868783,99.98713204499236,B
D,-0.16466393,84.81787036122613,B
E,-0.0007250601,99.9275202692557,E
E,-0.000251684,99.9748347669761,E
A,-0.00013631687,99.98636924207224,A
E,-0.00027742467,99.97226138086653,E
D,-9.221884e-05,99.99077854120266,D
C,-0.92089987,39.81605870602136,D
C,-0.0001593195,99.98406931906776,C
C,-0.034878854,96.57224025773937,C
D,-0.006584162,99.34374661009478,E
E,-0.00011415232,99.98858541951282,E
A,-0.0012824952,99.87183268455084,A
D,-0.011408069,98.86567562745803,D
C,-9.186123e-05,99.99081429891136,C
B,-0.008932206,99.11075676417975,B
E,-0.0011265253,99.88741089914215,E
D,-0.021930927,97.83078073726503,E
D,-4.0961266e-05,99.99590395729012,D
A,-0.000107238506,99.9892767243843,C
B,-0.0001470452,99.98529656106156,B
A,-2.3915141e-05,99.99760851449648,A
E,-0.00025597532,99.97440574388871,E
A,-0.00048572666,99.95143912860969,E
A,-0.5735855,56.35013780422344,E
D,-0.1735968,84.06357736803824,C
B,-0.90102845,40.61517381166227,B
A,-0.00025382967,99.97462025420252,A
A,-3.070975e-05,99.99692907215395,A
B,-0.00014895246,99.98510586328669,B
C,-0.000115463554,99.98845431116597,C
D,-0.0004616512,99.95384553445192,D
B,-0.0003646634,99.96354030816163,B
B,-3.7027545e-05,99.9962973140511,B
E,-5.3358446e-05,99.99466429775366,E
C,-0.20494843,81.46893288568035,C
A,-0.014754621,98.5353695045332,A
D,-0.019121109,98.10605397868038,B
B,-3.5954712e-05,99.9964045934363,B
C,-0.00020127551,99.97987447445566,C
C,-0.0002477503,99.97522803875712,C
D,-5.8841815e-05,99.99411599161456,D
A,-6.372917e-05,99.99362728606604,A
B,-9.877504e-05,99.99012298380936,B
B,-0.33159804,71.7775782029379,B
C,-0.04449326,95.64820467608907,C
A,-1.4221034,24.12061299658341,C
A,-0.00019698418,99.98030352201097,A
D,-0.4547781,63.458876757345664,E
C,-0.040138252,96.06566172724384,C
E,-0.00011462913,99.98853774396676,E
D,-5.9437833e-05,99.9940563933393,D
C,-0.0039869775,99.60209599424873,C
B,-2.1493337,11.656179703046751,A
D,-0.00020044109,99.97995789969731,D
B,-0.026919352,97.34397443272476,B
D,-6.49212e-05,99.99350809073356,D
B,-0.02682141,97.35350896317652,B
D,-0.0037614896,99.62455759402438,D
B,-2.9994528e-05,99.99700059218314,B
C,-0.000312344,99.9687704774309,C
E,-0.00053873565,99.94614094419937,E
C,-4.85903e-05,99.99514108804895,C
A,-0.000110576206,99.98894299073233,A
B,-0.0006551316,99.93450829518508,B
A,-2.2246291e-05,99.9977753956447,A
B,-2.2048483,11.026725157782966,C
D,-6.778209e-05,99.9932220207154,D
D,-0.00030793346,99.96921139466417,D
A,-1.4072299,24.482052203875515,B
A,-0.017187448,98.29594135886714,E
A,-0.11117201,89.47848237535419,D
B,-0.0025007483,99.75023759661529,B
B,-5.216641e-05,99.99478349506435,B
B,-0.0044694007,99.55405722081356,B
E,-0.0005057309,99.94943969603163,E
E,-7.1238996e-05,99.9928763541437,E
C,-0.00016337242,99.9836640924547,C
C,-0.00019173922,99.98082791607894,C
B,-1.9228908,14.618376271137729,D
D,-0.00014513794,99.98548725920013,D
A,-0.00029422872,99.9705814561025,D
D,-4.036525e-05,99.99596355646658,D
A,-0.23291257,79.22228345389483,B
C,-0.035926394,96.47112994097643,C
B,-0.0050573987,99.4955368408951,B
C,-0.018300245,98.18661876841749,C
B,-0.0631607,93.87925975961302,D
A,-0.00014859485,99.9851416189668,A
D,-0.00028779538,99.97122460291178,D
A,-0.00032795602,99.9672097751697,A
D,-0.10087258,90.40482193712896,D
C,-0.001188326,99.8812379779748,C
D,-0.0001468068,99.9853203975591,D
C,-3.9068496,2.0103736211936583,A
B,-0.0014172613,99.85837425405055,B
D,-8.470901e-05,99.9915294577707,D
E,-0.00013131031,99.98686983108213,E
B,-0.00017362394,99.98263911317639,B
A,-0.008125862,99.1907063573375,C
D,-7.064298e-05,99.99293595151566,D
A,-3.4047454e-05,99.9965953125608,A
A,-0.00021486107,99.97851620109866,A
C,-2.5703197e-05,99.99742971333244,C
B,-0.000121542944,99.98784644420444,B
B,-0.29560855,74.40786406027422,A
A,-1.1021087,33.21698979988527,B
D,-1.7835755e-05,99.99821644040561,D
B,-4.167649e-05,99.9958324378453,B
C,-4.3822154e-05,99.99561788061766,C
B,-0.020727564,97.94857754100799,E
E,-0.0008317823,99.91685635350042,E
A,-0.00011582117,99.98841855370128,A
A,-0.008987983,99.1052288176673,C
E,-0.00018268342,99.98173332655999,E
B,-6.4802e-05,99.99352000996042,B
C,-9.841743e-05,99.99015874128364,C
E,-0.000111291425,99.98887147676609,E
A,-0.00076936727,99.92309286171113,E
B,-0.22586516,79.78256732268146,D
A,-5.025915e-05,99.99497421129699,A
A,-1.5570886e-05,99.99844292352256,A
C,-4.739826e-05,99.99526028632798,C
A,-0.0072628893,99.27634217438917,E
B,-1.998142e-05,99.99800187796272,B
A,-0.018507041,98.16631626771297,A
C,-0.0008046258,99.91956978245344,C
B,-0.0040698517,99.59384189225567,B
B,-0.054803178,94.66714553873739,B
A,-0.0031215064,99.68833604358326,C
B,-6.396757e-05,99.99360344758814,B
B,-0.0032699264,99.67354139868543,B
A,-0.00031627773,99.96837722805287,A
A,-4.1199673e-05,99.99588011756948,A
E,-0.058498316,94.31798287131609,B
E,-0.43066493,65.00766954845065,E
D,-0.424286,65.42367434407092,D
A,-0.27706164,75.8007772071387,C
A,-0.00021152703,99.9788495340265,A
A,-3.1424974e-05,99.99685755197594,A
C,-0.4153215,66.01280154282078,E
C,-0.028154807,97.22378459264907,C
A,-0.017288575,98.28600148780848,D
A,-0.01932506,98.08604719113688,B
C,-0.0016992259,99.83022169669617,D
A,-0.05277383,94.85945318477293,E
A,-5.6576944e-05,99.99434246564451,A
E,-0.011124221,98.89374243491868,B
B,-1.3716758,25.368148371575778,E
B,-4.632543e-05,99.99536756430062,B
C,-0.00019293126,99.98070873500387,C
A,-0.045068204,95.5932281204346,B
C,-1.7035918,18.202853836400596,E
E,-0.004922174,99.50899200473049,D
C,-0.009861389,99.01870750580316,D
C,-0.47175515,62.39062576644025,C
B,-0.00021105022,99.9788972049531,B
A,-0.001125095,99.88755376820815,A
A,-0.13419263,87.44216085445558,A
A,-0.00067144784,99.93287775306565,A
C,-5.7530575e-05,99.99424710798517,C
A,-0.09401122,91.02725489254713,A
A,-0.961448,38.23388582890674,D
E,-0.0031848405,99.68202257247056,B
C,-6.0033854e-05,99.99399679479957,C
A,-0.16939425,84.41760213745526,B
B,-0.0030124113,99.6992121458267,B
D,-0.00095850864,99.90419505826718,D
C,-0.00017016703,99.98298474475878,C
B,-0.18312548,83.2663666544698,B
A,-0.00030090412,99.96991411471042,B
E,-1.0829536,33.859397611684315,C
B,-0.05979652,94.19561833293263,D
D,-0.005936859,99.40807293237137,D
E,-0.0020904231,99.79117603126846,E
B,-5.6100132e-05,99.9943901441583,B
A,-0.67006606,51.16747754343979,E
B,-0.0003929,99.96071771750972,B
D,-2.6060809e-05,99.997393953058,D
E,-0.000116894,99.98831128318373,E
E,-0.60286963,54.723900726935604,E
C,-0.0003121056,99.96879430998862,C
C,-0.0028865447,99.71176173645276,C
D,-0.0884466,91.5351989227155,C
A,-0.0017325369,99.82689630756755,E
D,-0.0330661,96.74746074038862,B
C,-0.0013573752,99.86435456170383,C
B,-0.00039552248,99.96045557287047,C
A,-0.07180445,93.07128789207002,A
D,-0.11243109,89.36589270234165,C
A,-0.000191024,99.98089942439225,A
B,-0.00040648188,99.95936007225669,B
C,-0.00011081461,99.9889191529712,C
C,-0.08737114,91.63369432218666,C
A,-0.0010925926,99.89080040619723,A
D,-5.8484206e-05,99.99415175041678,D
E,-0.0040443256,99.59638416707023,E
B,-0.19479598,82.30025499090206,C
E,-0.00020807012,99.97919515250861,E
B,-0.05211479,94.92198996365572,C
D,-0.18426035,83.1719237532886,C
B,-0.004935459,99.5076700365529,A
B,-0.00017410076,99.98259143946578,B
C,-0.3142637,73.03264156887697,A
B,-0.016045513,98.4082530487829,B
B,-0.00024417418,99.97558556280889,A
A,-0.0066877836,99.3334529854512,A
C,-0.00052312727,99.94770095372134,C
A,-0.000685391,99.93148438267589,E
C,-0.076524064,92.6330622800505,C
C,-0.00065643917,99.9343776239055,C
E,-0.0005116874,99.94884434896719,E
C,-0.0003540543,99.96460083698273,C
C,-0.0003418992,99.9658159240871,C
C,-0.02870714,97.17009951541836,D
B,-1.4067742,24.493211217452952,D
E,-7.111979e-05,99.99288827389523,E
A,-0.926199,39.60562628166226,A
C,-0.33506012,71.52950815195467,C
D,-7.409989e-05,99.9925902855329,D
E,-0.0026148977,99.73885181669611,E
C,-0.006239234,99.37801896033233,C
A,-0.002032492,99.79695721131971,A
E,-0.015769567,98.43541215963036,E
B,-8.971556e-05,99.99102884643204,B
B,-7.4695905e-05,99.99253068846696,B
B,-0.0040421872,99.59659714420584,D
B,-0.00020115632,99.9798863910576,B
D,-3.106736e-05,99.99689331225854,D
A,-2.4003327,9.06877764465493,B
C,-0.065352686,93.67370310748633,C
C,-4.0842064e-05,99.99591587700257,C
A,-0.00012058931,99.98794179605986,A
D,-0.0005778161,99.94223508035746,D
A,-0.5879959,55.543932599458635,E
A,-0.09489533,90.9468123514914,C
C,-0.00034046874,99.96595892129042,C
E,-0.00034845536,99.9651605343518,E
A,-0.024071045,97.62163520034495,A
B,-9.41261e-05,99.99058783297224,B
A,-0.30834207,73.46639685182484,D
B,-0.056593336,94.49782798861467,B
C,-0.00017386234,99.98261527731808,C
B,-0.2358125,78.99287716928963,B
C,-0.7947188,45.1708237421567,E
A,-1.4676788,23.045980811822396,C
A,-4.978234e-05,99.99502188991201,A
E,-1.9621861,14.055082666547081,A
E,-0.88044125,41.45999290953039,C
B,-1.3902034e-05,99.99860980626329,B
E,-0.0019559907,99.80459210031816,C
D,-0.2395847,78.69546154631084,C
D,-1.6215141,19.759928739015482,E
D,-0.33850324,71.2836469794984,A
C,-0.0595097,94.22263939508817,C
B,-0.03449588,96.60923199786505,B
B,-0.002199502,99.78029151320371,D
A,-4.4849444e-06,99.99955150656574,A
D,-0.65858835,51.758146289967065,D
D,-0.00078568346,99.9214625108432,D
E,-0.00046630012,99.95338085810045,E
E,-0.54673034,57.88393274533406,E
E,-0.00016110756,99.98389054171261,E
D,-7.445749e-05,99.99255452818902,D
D,-0.00018101456,99.9819001822147,D
C,-1.7810534,16.84605973762093,B
C,-0.00015335932,99.98466524389394,C
D,-0.122099616,88.5060197954422,A
A,-0.00012523093,99.98747769110656,A
B,-0.0003675133,99.96325542247405,B
C,-4.370295e-05,99.995629800496,C
D,-0.0006133131,99.93868749380353,E
C,-5.4550484e-05,99.99454510038505,C
A,-0.13984229,86.9495352698211,A
C,-0.013442085,98.66478563736854,D
B,-0.14954361,86.11008845912774,B
