generated,log_probs,linear_probs,correct_answer
B,-0.0001408466,99.98591633184168,B
E,-0.7965143,45.089792295877785,A
A,-0.0004620088,99.95380979096315,D
B,-0.14996254,86.07402191497572,C
A,-0.0008381001,99.91622510077941,A
A,-0.0067233024,99.32992484305936,E
C,-0.39475486,67.38452054172792,D
B,-2.2723105e-05,99.99772771531677,B
E,-0.0024361892,99.75667759005717,E
A,-0.0001842294,99.98157875691939,A
D,-0.0031009465,99.69038564687322,D
The,-4.963643,0.6987426215889736,C
C,-0.004415279,99.55944540143969,C
E,-0.0006036686,99.93965135712305,B
E,-0.00035060104,99.96494604133626,E
E,-0.0002848153,99.97152252560272,E
C,-0.0004007601,99.95993201936024,C
E,-0.00011009939,99.98899066707155,E
C,-7.421909e-05,99.99257836641685,C
E,-0.31066397,73.29601310852938,E
B,-6.682846e-05,99.99331737729717,B
A,-0.0012866637,99.871416369684,A
A,-0.005880798,99.41364600456257,C
E,-7.910644e-05,99.99208966888318,E
B,-0.00024275472,99.9757274742543,B
B,-0.015599647,98.45213972599831,C
B,-3.5477897e-05,99.99645227323332,B
C,-0.003276103,99.6729257569909,C
B,-9.960947e-05,99.99003954908585,B
E,-0.029489638,97.09409384790735,B
A,-0.021989,97.82509957529794,C
A,-0.0059372094,99.40803809978873,C
A,-0.2139546,80.73850394714111,C
B,-2.1650272e-05,99.99783499623655,B
A,-5.4312077e-05,99.99456893978743,A
A,-0.00018804391,99.98119737691479,C
A,-0.0006192696,99.93809221078438,A
A,-0.018835006,98.13412643065672,A
A,-0.19209547,82.52280802059661,E
C,-0.6133153,54.15524806839783,E
C,-1.247159e-05,99.998752848777,C
A,-0.0001407274,99.9859282501636,A
D,-0.0011137816,99.88868384245141,D
A,-0.0006931356,99.93071045629883,A
A,-5.7530575e-05,99.99424710798517,A
B,-2.749125e-05,99.99725091278809,B
C,-4.5252596e-05,99.99547484278833,C
E,-0.00021521868,99.97848044778787,E
A,-0.005567532,99.44479379830949,A
D,-2.327745,9.751539656092174,C
E,-0.00030960233,99.96904455918558,E
B,-8.8285124e-05,99.99117187730168,B
C,-1.3917881,24.86303310266674,E
C,-0.0007199381,99.92803209932532,C
A,-7.362307e-05,99.99263796401117,A
E,-0.00012844942,99.98715588292735,E
A,-0.0016335244,99.83678090747959,E
B,-0.0010418595,99.89586830471731,B
E,-0.009863278,99.01852045964135,E
A,-0.00016170357,99.98383095033176,A
D,-0.76256204,46.64697804999354,C
A,-0.00013440961,99.98655994225669,A
B,-2.9875326e-05,99.9970125120263,B
A,-3.619312e-05,99.99638075349631,A
B,-0.033014435,96.75245932707264,B
A,-0.021110019,97.91112378043007,C
B,-0.00020270597,99.9797314573467,B
A,-0.110693716,89.52128963301462,D
E,-0.0002193908,99.97806332644016,E
B,-0.02682141,97.35350896317652,B
D,-0.0001008015,99.98992035803005,D
C,-7.398068e-05,99.9926022056503,C
A,-0.0005610157,99.9439141639883,A
A,-0.0008903792,99.9110017069941,A
D,-0.00018518302,99.98148341253172,D
B,-0.0005063269,99.94938012618333,B
B,-0.3658826,69.35842232179962,E
A,-2.3795938e-05,99.99762043451211,A
A,-0.047087666,95.4003760230704,C
A,-0.00011021859,99.98897874838455,A
B,-0.049090177,95.20952687321724,B
B,-0.033681896,96.68790238083639,B
A,-5.121278e-05,99.9948788531352,A
A,-0.0027897807,99.72141071219465,C
C,-0.02087958,97.93368892172735,C
E,-0.0001791073,99.98209087387548,E
B,-0.30229086,73.91230522907762,C
A,-0.0020484324,99.79536642058193,A
D,-6.289474e-05,99.99371072378327,D
C,-0.00011820524,99.98818017459641,C
B,-0.00021819877,99.97818250336202,B
A,-0.003222749,99.67824384814121,C
D,-0.0008794234,99.91209631794275,D
