generated,log_probs,linear_probs,correct_answer
"['C', ')', ' At', 'rophy']","[-0.0057527996, -5.5122365e-07, -1.504853e-06, -9.233804e-05]","[99.4263716066003, 99.9999448776502, 99.99984951481323, 99.99076662230256]",C
"['C', ')', ' Vitamin', ' B', '12']","[-9.066919e-05, -1.0280384e-06, -4.3202e-07, -7.89631e-07, 0.0]","[99.99093349203267, 99.99989719621284, 99.99995679800934, 99.99992103693117, 100.0]",C
"['B', ')', ' IG', '1', '-', '1']","[-0.050521623, -3.1281633e-07, -0.004044683, -0.00013083349, -6.704273e-07, 0.0]","[95.073337074239, 99.99996871837189, 99.59634857132889, 99.98691750683278, 99.99993295729247, 100.0]",B
"['C', ')', ' M', 'ite']","[-0.032221172, -1.504853e-06, -5.5122365e-07, -5.5122365e-07]","[96.82923992279238, 99.99984951481323, 99.9999448776502, 99.9999448776502]",C
"['C', ')', ' P', 'ilon', 'idal', ' sinus']","[-0.12233675, -1.9816675e-06, -7.89631e-07, -6.749814e-06, -3.650519e-06, -5.3239244e-05]","[88.48503449720621, 99.99980183344636, 99.99992103693117, 99.99932502087799, 99.99963494876631, 99.99467621731833]",C
"['C', ')', ' abc']","[-0.5048434, -1.6240566e-06, -7.564953e-05]","[60.36000918005912, 99.99983759447187, 99.99243533313535]",C
"['C', ')', ' Def', 'icit', ' of', ' expression', ' by', ' gesture']","[-0.0004684458, -4.3202e-07, -2.8160932e-06, -1.4021238e-05, -2.6968896e-06, -4.8425554e-06, -1.9361265e-07, -8.776276e-06]","[99.95316639036031, 99.99995679800934, 99.99971839107651, 99.9985978860297, 99.99973031140365, 99.99951574563252, 99.99998063873687, 99.99912237625114]",C
"['A', ')', ' Clo', 'str', 'id', 'ium', ' tet', 'ani']","[-1.1833549, -4.246537e-06, -5.080963e-06, -9.968313e-06, -1.8624639e-06, -1.8431772e-05, -4.85903e-05, -1.92662e-05]","[30.624957649427287, 99.99957534720166, 99.9994919049908, 99.99900317366834, 99.99981375378344, 99.99815683978642, 99.99514108804895, 99.9980733985592]",C
"['C', ')', ' Ren', 'al', ' clearance']","[-0.0029035397, -3.1281633e-07, -1.147242e-06, -3.5313153e-06, -0.000111291425]","[99.71006714946185, 99.99996871837189, 99.99988527586581, 99.99964686909351, 99.98887147676609]",C
"['D', ')', ' Ur', 'ine', ' microscopy', ' for', ' malignant', ' cyt', 'ology', ' cells']","[-0.00027194494, -3.1281633e-07, 0.0, -9.729906e-06, -3.035214e-05, -1.9361265e-07, -2.3392786e-06, -5.9153886e-06, -3.1281633e-07, -2.9352968e-06]","[99.97280920336735, 99.99996871837189, 100.0, 99.99902701413353, 99.99696483206215, 99.99998063873687, 99.9997660724136, 99.99940846288958, 99.99996871837189, 99.9997064707508]",D
"['C', ')', ' Ad', 'enos', 'ine', ' receptors']","[-0.00051156816, -6.704273e-07, -1.504853e-06, -4.3202e-07, -8.89548e-06, -9.0883464e-07]","[99.94885626686809, 99.99993295729247, 99.99984951481323, 99.99995679800934, 99.99911045595647, 99.9999091165773]",C
"['A', ')', ' Cry', 'oglob', 'ulin', 'emia']","[-0.009198847, -4.3202e-07, -4.3202e-07, -0.00012642296, -2.58224e-05, -1.7432603e-06]","[99.08433329583197, 99.99995679800934, 99.99995679800934, 99.98735850310456, 99.99741779333952, 99.99982567412195]",A
"['A', ')', ' Mat', 'uration']","[-1.4812726, -3.7697225e-06, -3.1737043e-06, -1.9816675e-06]","[22.73481809142501, 99.99962302846053, 99.99968263007362, 99.99980183344636]",A
"['C', ')', ' Cardinal', ' vein']","[-0.003186267, -3.1281633e-07, -3.1281633e-07, -2.8160932e-06]","[99.68188037616677, 99.99996871837189, 99.99996871837189, 99.99971839107651]",C
"['B', ')', ' Param', 'edian']","[-0.026447406, -6.704273e-07, -4.365741e-06, -1.6286107e-05]","[97.38992637464708, 99.99993295729247, 99.99956342685299, 99.99837140256179]",C
"['A', ')', ' ', '0', '.', '7']","[-0.0010051816, -7.89631e-07, -4.8425554e-06, -5.3193703e-06, -7.89631e-07, -1.9361265e-07]","[99.8995323425796, 99.99992103693117, 99.99951574563252, 99.99946806438477, 99.99992103693117, 99.99998063873687]",B
"['C', ')', ' Ves', 'ic', 'oure', 'ter', 'al', ' reflux', ' induced', ' py', 'el', 'one', 'ph', 'ritis']","[-0.0003308169, -9.0883464e-07, -5.5122365e-07, -5.6769813e-06, -8.657073e-06, -4.429897e-05, -3.650519e-06, -5.240482e-05, -0.00011582117, -4.723352e-06, -1.8550976e-05, -7.89631e-07, 0.0, -1.4974867e-05]","[99.9669237813877, 99.9999091165773, 99.9999448776502, 99.9994323034814, 99.99913429644724, 99.99557020111848, 99.99963494876631, 99.99475965531086, 99.98841855370128, 99.9995276659155, 99.99814491960683, 99.99992103693117, 100.0, 99.99850252451228]",C
"['B', ')', ' Wait', ' and', ' watch']","[-0.0012346377, -6.704273e-07, -2.4584822e-06, 0.0, -2.2603901e-05]","[99.87661241515559, 99.99993295729247, 99.9997541520822, 100.0, 99.99773963544662]",B
"['B', ')', ' P', 'ne', 'um', 'oc', 'oc', 'ci']","[-0.023908338, -1.8624639e-06, -4.3202e-07, -7.3458323e-06, -2.3392786e-06, -4.978234e-05, -6.869018e-06, -1.0280384e-06]","[97.63752021601007, 99.99981375378344, 99.99995679800934, 99.99926541946806, 99.9997660724136, 99.99502188991201, 99.99931310055916, 99.99989719621284]",B
"['B', ')', ' Facial', ' nerve', ' repair']","[-0.0027523304, -3.1281633e-07, -2.8160932e-06, -1.2664457e-06, -3.1281633e-07]","[99.725145378874, 99.99996871837189, 99.99971839107651, 99.99987335551019, 99.99996871837189]",B
"['B', ')', ' Demonstr', 'ations']","[-0.00062070007, -5.5122365e-07, -2.4584822e-06, -2.4584822e-06]","[99.93794925244386, 99.9999448776502, 99.9997541520822, 99.9997541520822]",B
"['C', ')', ' Central', ' vessel', '.']","[-0.49305156, -1.9816675e-06, -8.418666e-06, -5.4385737e-06, -9.4245304e-05]","[61.075977747991125, 99.99980183344636, 99.99915813694369, 99.9994561441089, 99.99057591369491]",A
"['C', ')', ' To', ' see', ' the', ' anterior', ' portion', ' of', ' the', ' lateral', ' men', 'isc', 'us']","[-0.09804619, -1.9361265e-07, -5.9153886e-06, -2.9352968e-06, -7.58424e-06, -9.484132e-05, -0.06583933, -1.504853e-06, -1.9196457, -7.89631e-07, -6.2729996e-06, -5.5122365e-07, -4.3202e-07]","[90.66070266082167, 99.99998063873687, 99.99940846288958, 99.9997064707508, 99.99924157887602, 99.99051631772959, 93.62812845212702, 99.99984951481323, 14.665891417979502, 99.99992103693117, 99.99937270200753, 99.9999448776502, 99.99995679800934]",A
"['A', ')', ' Left', ' lateral', ' dec', 'ub', 'itus', ' view']","[-0.23552316, -1.6240566e-06, -3.650519e-06, -1.9361265e-07, -8.89548e-06, -1.1517961e-05, -4.00813e-06, -4.3202e-07]","[79.01573627523717, 99.99983759447187, 99.99963494876631, 99.99998063873687, 99.99911045595647, 99.99884821053314, 99.99959918780326, 99.99995679800934]",A
"['C', ')', ' L', 'ungs']","[-0.00020854695, -5.7961847e-06, -3.1281633e-07, -1.2664457e-06]","[99.97914747944036, 99.99942038320978, 99.99996871837189, 99.99987335551019]",C
"['B', ')', ' Class', ' -', ' ', '2']","[-0.5785825, -4.3202e-07, -1.9816675e-06, -0.00012678056, -0.00020020269, -2.319992e-05]","[56.069258526952936, 99.99995679800934, 99.99980183344636, 99.98732274763155, 99.97998173492212, 99.99768003491161]",B
"['B', ')', ' Mean', ' -', ' Mode', '/', ' SD']","[-0.9328256, -2.220075e-06, -2.5941605e-05, -1.6524515e-05, -3.3093824e-05, -0.010050241, -0.003857436]","[39.34404329865666, 99.99977799274644, 99.99740587314805, 99.9983475621529, 99.99669067235945, 99.00000939049708, 99.61499943491445]",B
"['A', ')', ' Rt', '.', ' Leg', ' and', ' per', 'ine', 'us']","[-0.1510041, -1.4140442e-05, -3.8100377e-05, -0.000112960275, -1.0802739e-05, -3.888926e-06, -4.596782e-05, -3.2140193e-05, -0.00012582695]","[85.98441732908681, 99.99858596579756, 99.99619003488101, 99.98870461047716, 99.99891973193493, 99.99961110815619, 99.99540332365041, 99.99678603234905, 99.98741809658786]",A
"['C', ')', ' Stre', 'pt', 'oc', 'occus', ' pneumonia']","[-0.8164135, -5.5122365e-07, -4.3202e-07, -2.577686e-06, -7.822647e-06, -2.2484697e-05, -4.9617593e-06]","[44.201409865661255, 99.9999448776502, 99.99995679800934, 99.99974223173223, 99.99921773835968, 99.99775155557788, 99.99950382530095]",A
"['C', ')', ' K', '+']","[-0.05802036, -6.704273e-07, -4.4849444e-06, -9.0883464e-07]","[94.36307349194529, 99.99993295729247, 99.99955150656574, 99.9999091165773]",A
"['A', ')', ' Hem', 'odial', 'ysis']","[-2.5649006, -4.3202e-07, -4.3202e-07, -1.1517961e-05, -4.604148e-06]","[7.692682758847701, 99.99995679800934, 99.99995679800934, 99.99884821053314, 99.99953958625991]",A
"['B', ')', ' N', 'AD', '+']","[-0.059625607, -3.1281633e-07, -6.704273e-07, -3.1281633e-07, -8.061054e-06]","[94.2117189645132, 99.99996871837189, 99.99993295729247, 99.99996871837189, 99.99919389784903]",B
"['A', ')', ' ', '5', ' ppm']","[-1.5215241, -4.3202e-07, -1.7716551e-05, -1.2664457e-06, -1.18755715e-05]","[21.83788020571316, 99.99995679800934, 99.99822836059373, 99.99987335551019, 99.99881244990144]",C
"['A', ')', ' ', '0', ',', ' ', '3', ',', ' ', '7', ',', ' ', '14', ',', ' ', '28', ',', ' ', '90']","[-0.07323797, -4.3202e-07, -2.8802491e-05, -1.962381e-05, -1.504853e-06, -3.070975e-05, -9.849109e-06, -9.0883464e-07, -3.650519e-06, -5.5577775e-06, -1.9361265e-07, -6.511407e-06, -3.650519e-06, -2.1008714e-06, -1.504853e-06, -2.188868e-05, -6.704273e-07, -4.3202e-07, -7.89631e-07]","[92.93796392357014, 99.99995679800934, 99.99711979237877, 99.99803763825457, 99.99984951481323, 99.99692907215395, 99.99901509395023, 99.9999091165773, 99.99963494876631, 99.99944422379444, 99.99998063873687, 99.99934886141992, 99.99963494876631, 99.99978991308069, 99.99984951481323, 99.99781115595555, 99.99993295729247, 99.99995679800934, 99.99992103693117]",D
