prompt,answer
"Question: An important source of information on the credit rating of retail businesses is

A) the Retail Merchants Association
B) the local chamber of commerce
C) Dun & Bradstreet, Inc.
D) the United States Retail Credit Association

Choose the best option.",C
"Question: In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?

A) Conferencing
B) Discipline-based inquiry
C) Self-Regulated Strategy Development
D) Introduction-Body-Conclusion strategy

Choose the best option.",B
"Question: Paper will burn at approximately what temperature in Fahrenheit?

A) 986 degrees
B) 2125 degrees
C) 3985 degrees
D) 451 degrees

Choose the best option.",D
"Question: The Apple iMac computer is available in all of the following colors except which?

A) Tangerine
B) Strawberry
C) Kiwi
D) Grape

Choose the best option.",C
"Question: What were the first names of the early American explorers Lewisand Clark?

A) Morgan and Mason
B) Meriwether and William
C) Cabot and Joseph
D) Meredith and George

Choose the best option.",B
"Question: A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?

A) Direct instruction
B) Literature circle
C) Guided reading
D) Read-aloud

Choose the best option.",C
"Question: What is varicella?

A) a fancy pasta
B) a type of opera
C) the chicken pox virus
D) ancient Roman poetry

Choose the best option.",C
"Question: Which of the following materials has a resistance that is LEAST affected by temperature changes?

A) Copper
B) Carbon
C) Germanium
D) Silicon

Choose the best option.",A
"Question: A second-year college student is usually called a what?

A) sophomore
B) senior
C) freshman
D) junior

Choose the best option.",A
"Question: In the film 'The Talented Mr Ripley' who plays Mr Ripley?

A) Jude Law
B) Matt Damon
C) Dustin Hoffman
D) Ben Affleck

Choose the best option.",B
"Question: A hard-edge painting is most likely to be characterized by

A) an even, solid paint application
B) blurry color mixed on the painting's surface
C) scratchy brush marks clearly separated
D) translucent multiple layers of paint

Choose the best option.",A
"Question: Who was president of the United States when Bill Clinton was born?

A) Herbert Hoover
B) Harry S Truman
C) Franklin Roosevelt
D) Dwight Eisenhower

Choose the best option.",B
"Question: Which of the following lists includes minerals only?

A) Granite, gabbro, diorite, quartz, feldspar
B) Gold, quartz, topaz, diamond, corundum
C) Gneiss, schist, phyllite, chlorite, mica
D) Coal, chert, limestone, dolomite, halite

Choose the best option.",B
"Question: Which of the following is a likely outcome of the development and use of genetically modified plants?

A) Reduced cost of plant seeds
B) New plant varieties being patented
C) Increased genetic diversity within a planted field
D) Less oversight and fewer regulations than for unmodified crops

Choose the best option.",B
