prompt,answer
"Question: An important source of information on the credit rating of retail businesses is

A) Dun & Bradstreet, Inc.
B) the United States Retail Credit Association
C) the local chamber of commerce
D) the Retail Merchants Association

Choose the best option.",A
"Question: In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?

A) Self-Regulated Strategy Development
B) Discipline-based inquiry
C) Introduction-Body-Conclusion strategy
D) Conferencing

Choose the best option.",B
"Question: Paper will burn at approximately what temperature in Fahrenheit?

A) 451 degrees
B) 986 degrees
C) 3985 degrees
D) 2125 degrees

Choose the best option.",A
"Question: The Apple iMac computer is available in all of the following colors except which?

A) Strawberry
B) Grape
C) Kiwi
D) Tangerine

Choose the best option.",C
"Question: What were the first names of the early American explorers Lewisand Clark?

A) Morgan and Mason
B) Cabot and Joseph
C) Meriwether and William
D) Meredith and George

Choose the best option.",C
"Question: A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?

A) Read-aloud
B) Guided reading
C) Literature circle
D) Direct instruction

Choose the best option.",B
"Question: What is varicella?

A) a fancy pasta
B) the chicken pox virus
C) a type of opera
D) ancient Roman poetry

Choose the best option.",B
"Question: Which of the following materials has a resistance that is LEAST affected by temperature changes?

A) Copper
B) Carbon
C) Germanium
D) Silicon

Choose the best option.",A
"Question: A second-year college student is usually called a what?

A) junior
B) freshman
C) senior
D) sophomore

Choose the best option.",D
"Question: In the film 'The Talented Mr Ripley' who plays Mr Ripley?

A) Matt Damon
B) Jude Law
C) Ben Affleck
D) Dustin Hoffman

Choose the best option.",A
"Question: A hard-edge painting is most likely to be characterized by

A) scratchy brush marks clearly separated
B) an even, solid paint application
C) translucent multiple layers of paint
D) blurry color mixed on the painting's surface

Choose the best option.",B
"Question: Who was president of the United States when Bill Clinton was born?

A) Dwight Eisenhower
B) Franklin Roosevelt
C) Herbert Hoover
D) Harry S Truman

Choose the best option.",D
"Question: Which of the following lists includes minerals only?

A) Gold, quartz, topaz, diamond, corundum
B) Gneiss, schist, phyllite, chlorite, mica
C) Granite, gabbro, diorite, quartz, feldspar
D) Coal, chert, limestone, dolomite, halite

Choose the best option.",A
"Question: Which of the following is a likely outcome of the development and use of genetically modified plants?

A) New plant varieties being patented
B) Increased genetic diversity within a planted field
C) Reduced cost of plant seeds
D) Less oversight and fewer regulations than for unmodified crops

Choose the best option.",A
"Question: A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?

A) Character development
B) Point of view
C) Setting
D) Plot sequence

Choose the best option.",D
"Question: Which movie popularized the phrase ""You talkin' to me?""

A) Taxi Driver
B) Ghost Busters
C) Groundhog Day
D) Joker

Choose the best option.",A
"Question: Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?

A) A noisy relief valve
B) Excessive thinning of the fluid
C) Excessive fluid use
D) A grayish, milky fluid

Choose the best option.",D
"Question: What animal represents the year 2000 on the Chinese calendar?

A) dragon
B) tiger
C) monkey
D) rabbit

Choose the best option.",A
"Question: Which of the following is part of a farm combine?

A) Seed plate
B) Beater
C) Furrow opener
D) Conditioner

Choose the best option.",B
"Question: According to legend in what country are you most likely to meet a leprechaun?

A) Poland
B) Scotland
C) Ireland
D) Greenland

Choose the best option.",C
"Question: During which of the following processes within the hydrologic cycle do water molecules absorb energy?

A) Evaporation from the ocean surface
B) Formation of a cloud from water vapor
C) Runoff along the land surface
D) Formation of ice from water

Choose the best option.",A
"Question: What French city is home to a famous international film festival each spring?

A) Lyon
B) Dijon
C) Cannes
D) Marseille

Choose the best option.",C
"Question: What do you call three consecutive strikes in bowling?

A) mulligan
B) turkey
C) yahtzee
D) ace

Choose the best option.",B
"Question: Which of the boys on the TV show 'My Three Sons' is adopted?

A) Mike
B) Chip
C) Robbie
D) Ernie

Choose the best option.",D
